# Observed disk fractions to be plotted.
# Sources:
# (1) Ribas et al 2014, A&A 561, A54
# (2) Richtert et al 2018, MNRAS 477, 5191
#
#
# Name          Age       Age_error      disk_fraction       df_error+      df_error-   source   N
Chamealeon~I    2               0           52.                   6           6          1      212
Chamaeleon~II   2               2           84.                   9           9          1      47
CrA             1               0           50.                  13          13          1      35
IC~348          2               0           36.                   3           3          1      298
alpha~Orionis   4               0           26.                   7           7          1      114
Lupus           1               0           52.                   5           5          1      217
NGC~1333        1               0           66.                   6           6          1      74
Ophiuchus       3               2           25.                   3           3          1      258
sigma~Orionis   2.5             0.5         39.                   6           6          1      104
Serpens         2               0           62.                   4           4          1      142
Taurus          1.5             0.5         63.                   4           4          1      265
#eta~Cha         7.5             2.5         21.                   9           9          1     27
#TW~Hya          8               0           20.                   9           9          1     25
Eagle/A         2.4             1.0         0.19                0.12          0.24      2       16
Eagle/B         2.1             0.1         0.46                0.04          0.04      2       643
Eagle/D         2.5             0.2         0.50                0.06          0.06      2       304
Flame/A         0.8             0.2         0.71                0.08          0.07      2       142
Lagoon/A        2.2             0.2         0.59                0.19          0.16      2       27
Lagoon/C        1.6             0.2         0.61                0.17          0.15      2       31
Lagoon/E        1.9             0.2         0.44                0.10          0.11      2       78
Lagoon/F        2.3             0.1         0.41                0.06          0.06      2       261
Lagoon/H        2.1             0.4         0.52                0.10          0.10      2       90
Lagoon/I        2.1             0.2         0.48                0.08          0.08      2       164
Lagoon/J        2.7             0.2         0.37                0.12          0.14      2       51
Lagoon/K        1.4             0.2         0.68                0.10          0.09      2       88
M~17/D          1.1             0.2         0.60                0.16          0.14      2       35
NGC~1893/A      3.5             1.0         0.35                0.11          0.13      2       60
NGC~1893/B      2.6             0.3         0.45                0.08          0.09      2       124
NGC~1893/I      2.8             0.6         0.56                0.09          0.09      2       117
NGC~2264/E      3.2             0.5         0.23                0.08          0.11      2       75
NGC~2264/J      1.6             0.7         0.70                0.14          0.11      2       50
NGC~2264/K      2.2             0.3         0.56                0.12          0.11      2       70
NGC~2362/B      2.9             0.2         0.12                0.04          0.05      2       200
NGC~6334/B      2.3             0.4         0.65                0.15          0.13      2       40
NGC~6334/J      1.5             0.4         0.83                0.19          0.10      2       24
NGC~6334/L      0.7             0.3         0.95                0.18          0.04      2       21
NGC~6357/A      1.4             0.1         0.48                0.09          0.09      2       124
NGC~6357/B      1.4             0.2         0.60                0.08          0.07      2       156
NGC~6357/C      1.2             0.3         0.51                0.08          0.08      2       138
NGC~6357/E      1.4             0.4         0.59                0.12          0.11      2       64
NGC~6357/F      1.5             0.2         0.56                0.08          0.07      2       162
RCW~36/A        0.9             0.1         0.81                0.08          0.06      2       129
Rosette/E       3.0             0.2         0.28                0.04          0.04      2       465
Rosette/L       2.7             0.7         0.59                0.06          0.06      2       231
Rosette/M       1.9             0.4         0.84                0.12          0.08      2       51
Rosette/N       1.3             1.4         0.48                0.17          0.17      2       29
W~40/A          0.8             0.1         0.79                0.07          0.06      2       156
Be~59/A         1.8             0.2         0.50                0.06          0.06      2       301
Be~59/B         2.2             0.4         0.37                0.09          0.10      2       95
Cep~A/A         1.4             0.3         0.65                0.11          0.10      2       77
Cep~A/U         2.0             0.3         0.34                0.09          0.10      2       86
Cep~C/U         2.2             0.9         0.44                0.12          0.13      2       59
Cep~OB3b/A      2.2             0.2         0.51                0.05          0.05      2       396
Cep~OB3b/C      2.4             0.1         0.47                0.04          0.04      2       608
Cep~OB3b/U      3.4             0.4         0.41                0.10          0.11      2       81
GGD~12-15/A     0.6             0.6         0.80                0.12          0.08      2       55
GGD~12-15/U     2.5             0.5         0.35                0.09          0.10      2       88
IC~348/B        2.5             0.1         0.41                0.06          0.07      2       220
IC~348/U        3.8             0.4         0.29                0.12          0.16      2       38
IC~5146/B       1.5             0.2         0.70                0.09          0.07      2       125
IC~5146/U       2.6             0.5         0.52                0.11          0.11      2       71
IRAS~00013+681/A    1.8         1.8         0.73                0.17          0.12      2       33
IRAS~20050+2720/U   3.3         0.4         0.29                0.13          0.18      2       28
LkH$\alpha$~101/A   1.5         0.3         0.56                0.08          0.08      2       140
LkH$\alpha$~101/U   2.2         0.6         0.51                0.14          0.14      2       45
Mon~R2/A        1.2             0.1         0.83                0.10          0.07      2       78
Mon~R2/U        1.7             0.2         0.64                0.07          0.06      2       208
NGC~1333/A      2.5             1.2         0.73                0.21          0.14      2       22
NGC~1333/B      1.7             0.3         0.66                0.15          0.12      2       44
NGC~2068/B      1.2             0.2         0.63                0.10          0.09      2       91
NGC~2068/D      1.0             0.3         0.68                0.17          0.13      2       34
NGC~2068/U      2.3             0.4         0.48                0.11          0.11      2       77
OMC~2-3/U       1.7             0.2         0.45                0.07          0.07      2       181
ONC~Flank~N/A   1.7             0.2         0.43                0.07          0.07      2       184
ONC~Flank~S/A   1.6             0.2         0.48                0.06          0.06      2       136
RCW~120/B       0.8             0.2         0.56                0.11          0.11      2       73
RCW~120/C       0.7             0.4         0.72                0.16          0.12      2       36
RCW~120/U       1.2             0.2         0.35                0.11          0.12      2       62
Serpens~Main/B  0.6             0.7         0.58                0.19          0.17      2       24
Serpens~Main/U  2.2             0.5         0.47                0.15          0.16      2       36
Serpens~South/U 1.8             0.8         0.58                0.19          0.17      2       26
Sh~2-106/U      0.8             0.4         0.53                0.10          0.10      2       92
